19
Color index: 12.4, color rate: 0.8, trans_rate: 12.95
Color index: 13.2, color rate: 0.8, trans_rate: 12.95
Color index: 14.0, color rate: 0.8, trans_rate: 12.95
Color index: 14.8, color rate: 0.8, trans_rate: 12.95
Color index: 15.6, color rate: 0.8, trans_rate: 12.95
Color index: 16.4, color rate: 0.8, trans_rate: 12.95
Color index: 17.2, color rate: 0.8, trans_rate: 12.95
Color index: 18.0, color rate: 0.8, trans_rate: 12.95
Color index: 18, color rate: 0.8, trans_rate: 12.95
Color index: 12 errorper: 0.333058553985error: 5.10659644958
Color index: 17.7, color rate: -0.3, trans_rate: -4.5
Color index: 17.4, color rate: -0.3, trans_rate: -4.5
Color index: 17.1, color rate: -0.3, trans_rate: -4.5
Color index: 16.8, color rate: -0.3, trans_rate: -4.5
Color index: 16.5, color rate: -0.3, trans_rate: -4.5
Color index: 16.2, color rate: -0.3, trans_rate: -4.5
Color index: 15.9, color rate: -0.3, trans_rate: -4.5
Color index: 15.6, color rate: -0.3, trans_rate: -4.5
Color index: 15.3, color rate: -0.3, trans_rate: -4.5
Color index: 15.0, color rate: -0.3, trans_rate: -4.5
Color index: 14.7, color rate: -0.3, trans_rate: -4.5
Color index: 14.4, color rate: -0.3, trans_rate: -4.5
Color index: 14.1, color rate: -0.3, trans_rate: -4.5
Color index: 13.8, color rate: -0.3, trans_rate: -4.5
Color index: 13.5, color rate: -0.3, trans_rate: -4.5
Color index: 13.2, color rate: -0.3, trans_rate: -4.5
Color index: 12.9, color rate: -0.3, trans_rate: -4.5
Color index: 12.6, color rate: -0.3, trans_rate: -4.5
Color index: 12.3, color rate: -0.3, trans_rate: -4.5
Color index: 12, color rate: -0.3, trans_rate: -4.5
Color index: 13 errorper: 0.456588348925error: 2.77819320221
Color index: 12.05, color rate: 0.05, trans_rate: 0.95
Color index: 12.1, color rate: 0.05, trans_rate: 0.95
Color index: 12.15, color rate: 0.05, trans_rate: 0.95
Color index: 12.2, color rate: 0.05, trans_rate: 0.95
Color index: 12.25, color rate: 0.05, trans_rate: 0.95
Color index: 12.3, color rate: 0.05, trans_rate: 0.95
Color index: 12.35, color rate: 0.05, trans_rate: 0.95
Color index: 12.4, color rate: 0.05, trans_rate: 0.95
Color index: 12.45, color rate: 0.05, trans_rate: 0.95
Color index: 12.5, color rate: 0.05, trans_rate: 0.95
Color index: 12.55, color rate: 0.05, trans_rate: 0.95
Color index: 12.6, color rate: 0.05, trans_rate: 0.95
Color index: 12.65, color rate: 0.05, trans_rate: 0.95
Color index: 12.7, color rate: 0.05, trans_rate: 0.95
Color index: 12.75, color rate: 0.05, trans_rate: 0.95
Color index: 12.8, color rate: 0.05, trans_rate: 0.95
Color index: 12.85, color rate: 0.05, trans_rate: 0.95
Color index: 12.9, color rate: 0.05, trans_rate: 0.95
Color index: 12.95, color rate: 0.05, trans_rate: 0.95
Color index: 13.0, color rate: 0.05, trans_rate: 0.95
Color index: 13, color rate: 0.05, trans_rate: 0.95
Color index: 1 errorper: 0.812524533424error: -108.684138241
Color index: 12.4, color rate: -0.6, trans_rate: -9.5
Color index: 11.8, color rate: -0.6, trans_rate: -9.5
Color index: 11.2, color rate: -0.6, trans_rate: -9.5
Color index: 10.6, color rate: -0.6, trans_rate: -9.5
Color index: 10.0, color rate: -0.6, trans_rate: -9.5
Color index: 9.4, color rate: -0.6, trans_rate: -9.5
Color index: 8.8, color rate: -0.6, trans_rate: -9.5
Color index: 8.2, color rate: -0.6, trans_rate: -9.5
Color index: 7.6, color rate: -0.6, trans_rate: -9.5
Color index: 7.0, color rate: -0.6, trans_rate: -9.5
Color index: 6.4, color rate: -0.6, trans_rate: -9.5
Color index: 5.8, color rate: -0.6, trans_rate: -9.5
Color index: 5.2, color rate: -0.6, trans_rate: -9.5
Color index: 4.6, color rate: -0.6, trans_rate: -9.5
Color index: 4.0, color rate: -0.6, trans_rate: -9.5
Color index: 3.4, color rate: -0.6, trans_rate: -9.5
Color index: 2.8, color rate: -0.6, trans_rate: -9.5
Color index: 2.2, color rate: -0.6, trans_rate: -9.5
Color index: 1.6, color rate: -0.6, trans_rate: -9.5
Color index: 1, color rate: -0.6, trans_rate: -9.5
Color index: 11 errorper: 0.242554941375error: 31.5207754638
Color index: 1.5, color rate: 0.5, trans_rate: 7.9
Color index: 2.0, color rate: 0.5, trans_rate: 7.9
Color index: 2.5, color rate: 0.5, trans_rate: 7.9
Color index: 3.0, color rate: 0.5, trans_rate: 7.9
Color index: 3.5, color rate: 0.5, trans_rate: 7.9
Color index: 4.0, color rate: 0.5, trans_rate: 7.9
Color index: 4.5, color rate: 0.5, trans_rate: 7.9
Color index: 5.0, color rate: 0.5, trans_rate: 7.9
Color index: 5.5, color rate: 0.5, trans_rate: 7.9
Color index: 6.0, color rate: 0.5, trans_rate: 7.9
Color index: 6.5, color rate: 0.5, trans_rate: 7.9
Color index: 7.0, color rate: 0.5, trans_rate: 7.9
Color index: 7.5, color rate: 0.5, trans_rate: 7.9
Color index: 8.0, color rate: 0.5, trans_rate: 7.9
Color index: 8.5, color rate: 0.5, trans_rate: 7.9
Color index: 9.0, color rate: 0.5, trans_rate: 7.9
Color index: 9.5, color rate: 0.5, trans_rate: 7.9
Color index: 10.0, color rate: 0.5, trans_rate: 7.9
Color index: 10.5, color rate: 0.5, trans_rate: 7.9
Color index: 11, color rate: 0.5, trans_rate: 7.9
Color index: 14 errorper: 0.511799748313error: 59.2536583104
Color index: 11.15, color rate: 0.15, trans_rate: 2.0
Color index: 11.3, color rate: 0.15, trans_rate: 2.0
Color index: 11.45, color rate: 0.15, trans_rate: 2.0
Color index: 11.6, color rate: 0.15, trans_rate: 2.0
Color index: 11.75, color rate: 0.15, trans_rate: 2.0
Color index: 11.9, color rate: 0.15, trans_rate: 2.0
Color index: 12.05, color rate: 0.15, trans_rate: 2.0
Color index: 12.2, color rate: 0.15, trans_rate: 2.0
Color index: 12.35, color rate: 0.15, trans_rate: 2.0
Color index: 12.5, color rate: 0.15, trans_rate: 2.0
